timestamp,messageType,latency,statusCode,roomId
1770859335266,JOIN,619,SUCCESS,10
1770859335265,JOIN,621,SUCCESS,2
1770859335266,JOIN,626,SUCCESS,20
1770859335266,JOIN,674,SUCCESS,6
1770859335267,JOIN,696,SUCCESS,10
1770859335267,JOIN,696,SUCCESS,18
1770859335267,JOIN,696,SUCCESS,18
1770859335268,JOIN,695,SUCCESS,7
1770859335268,JOIN,696,SUCCESS,10
1770859335268,JOIN,696,SUCCESS,20
1770859335268,JOIN,696,SUCCESS,20
1770859335268,JOIN,697,SUCCESS,16
1770859335268,JOIN,697,SUCCESS,2
1770859335269,JOIN,696,SUCCESS,4
1770859335269,JOIN,696,SUCCESS,12
1770859335269,JOIN,696,SUCCESS,5
1770859335269,JOIN,699,SUCCESS,19
1770859335269,JOIN,700,SUCCESS,10
1770859335269,JOIN,700,SUCCESS,15
1770859335270,JOIN,699,SUCCESS,11
1770859335271,JOIN,698,SUCCESS,9
1770859335271,JOIN,698,SUCCESS,13
1770859335272,JOIN,698,SUCCESS,18
1770859335273,JOIN,697,SUCCESS,11
1770859335277,JOIN,693,SUCCESS,17
1770859335278,JOIN,692,SUCCESS,3
1770859335279,JOIN,691,SUCCESS,16
1770859335279,JOIN,692,SUCCESS,17
1770859335280,JOIN,691,SUCCESS,3
1770859335280,JOIN,691,SUCCESS,11
1770859335281,JOIN,690,SUCCESS,15
1770859335282,JOIN,689,SUCCESS,19
1770859335589,TEXT,382,SUCCESS,10
1770859335589,TEXT,382,SUCCESS,3
1770859335589,TEXT,383,SUCCESS,19
1770859335589,TEXT,383,SUCCESS,15
1770859335589,TEXT,383,SUCCESS,10
1770859335590,TEXT,382,SUCCESS,10
1770859335590,TEXT,382,SUCCESS,20
1770859335591,TEXT,381,SUCCESS,17
1770859335592,TEXT,380,SUCCESS,16
1770859335593,TEXT,379,SUCCESS,2
1770859335593,TEXT,379,SUCCESS,6
1770859335594,TEXT,378,SUCCESS,5
1770859335594,TEXT,378,SUCCESS,18
1770859335595,TEXT,377,SUCCESS,3
1770859335595,TEXT,377,SUCCESS,10
1770859335596,TEXT,377,SUCCESS,20
1770859335597,TEXT,376,SUCCESS,20
